group,case,lb-dfs,t-dfs,lb-maxknap,t-maxkanap,lb-fb,t-fb
8,20,15,0,15,0,15,0
8,21,16,0,16,0,16,0
8,22,18,0,18,0,18,0
8,23,17,0,17,0,17,0
8,24,12,0,12,0,12,0
8,25,17,0,17,0,17,0
8,26,17,0,17,0,17,0
8,27,13,0,12,0,12,0
8,28,13,0,13,0,13,0
8,29,16,0,16,0,16,0
8,30,18,0,18,0,18,0
8,31,17,0,17,0,17,0
8,32,19,0,19,0,19,0
8,33,15,0,15,0,15,0
8,34,17,0,17,0,17,0
8,35,13,0,13,0,13,0
8,36,9,0,9,0,9,0
8,37,14,0,14,0,14,0
8,38,16,0,16,0,16,0
8,39,15,0,15,0,15,0
8,40,13,0,13,0,13,0
9,1,18,0,18,0,18,0
9,2,11,0,11,0,11,0
9,3,18,0,18,0,18,0
9,4,18,0,18,0,18,0
9,5,15,0,15,0,15,0
9,6,16,0,16,0,16,0
9,7,19,0,19,0,19,0
9,8,14,0,14,0,14,0
9,9,15,0,15,0,15,0
9,10,19,0,19,0,19,0
9,11,17,0,17,0,17,0
9,12,19,0,19,0,19,0
9,13,11,0,11,0,10,0
9,14,15,0,15,0,15,0
9,15,20,0,20,0,20,0
9,16,13,0,13,0,13,0
9,17,16,0,16,0,16,0
9,18,21,0,21,0,21,0
9,19,17,0,17,0,17,0
9,20,15,0,15,0,15,0
9,21,20,0,20,0,20,0
9,22,9,0,9,0,9,0
9,23,11,0,11,0,11,0
9,24,19,0,19,0,19,0
9,25,19,0,19,0,19,0
9,26,16,0,16,0,16,0
9,27,16,0,16,0,16,0
9,28,20,0,20,0,20,0
9,29,16,0,16,0,16,0
9,30,15,0,15,0,15,0
9,31,12,0,12,0,12,0
9,32,17,0,17,0,17,0
9,33,13,0,12,0,12,0
9,34,21,0,21,0,21,0
9,35,17,0,17,0,17,0
9,36,17,0,17,0,17,0
9,37,16,0,16,0,16,0
9,38,14,0,14,0,14,0
9,39,14,0,14,0,14,0
9,40,21,0,21,0,21,0
10,1,19,0,19,0,19,0
10,2,19,0,19,0,19,0
10,3,14,0,14,0,14,0
10,4,21,0,21,0,21,0
10,5,20,0,20,0,20,0
10,6,26,0,26,0,26,0
10,7,23,0,23,0,23,0
10,8,17,0,17,0,17,0
10,9,18,0,18,0,18,0
10,10,18,0,18,0,18,0
10,11,21,0,21,0,21,0
10,12,22,0,22,0,22,0
10,13,17,0,17,0,17,0
10,14,21,0,21,0,21,0
10,15,20,0,20,0,20,0
10,16,12,0,11,0,11,0
10,17,17,0,17,0,17,0
10,18,20,0,20,0,20,0
10,19,18,0,18,0,18,0
10,20,21,0,21,0,21,0
10,21,22,0,22,0,22,0
10,22,20,0,20,0,20,0
10,23,14,0,14,0,14,0
10,24,20,0,20,0,20,0
10,25,18,0,18,0,18,0
10,26,18,0,18,0,18,0
10,27,22,0,22,0,22,0
10,28,25,0,25,0,25,0
10,29,17,0,17,0,17,0
10,30,17,0,17,0,17,0
10,31,21,0,21,0,21,0
10,32,19,0,19,0,19,0
10,33,19,0,19,0,19,0
10,34,17,0,17,0,17,0
10,35,22,0,22,0,22,0
10,36,19,0,19,0,19,0
10,37,19,0,19,0,19,0
10,38,16,0,16,0,16,0
10,39,16,0,16,0,16,0
10,40,19,0,19,0,19,0
11,1,16,0,16,0,16,0
11,2,20,0,20,0,20,0
11,3,17,0,17,0,17,0
11,4,19,0,19,0,19,0
11,5,18,0,18,0,18,0
11,6,14,0,14,0,14,0
11,7,15,0,15,0,14,0
